id,OBJECTID,FULL_,GEOID,LABEL,STATEFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
0,1,Saguache County,08109,Saguache,08,SAGUACHE,109,106.0,6837.0,1550.39,106.0,0.0,2.0,2.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.84314903059385,4.39184364534676
1,2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,11.0,2275.0,483.52,11.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.152011070952994,1.7075458304623
2,3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,7.0,1862.0,375.94,7.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.478627830943196,3.11127071445578
3,4,Custer County,08027,Custer,08,CUSTER,027,10.0,4928.0,202.92,10.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.196859248573446,2.36450252969444
4,5,La Plata County,08067,La Plata,08,LA PLATA,067,180.0,56403.0,319.13,174.0,6.0,2.0,2.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.447277846552652,3.02281991599123
5,6,San Juan County,08111,San Juan,08,SAN JUAN,111,2.0,762.0,-1.0,2.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.102833675325428,1.71664098503411
6,7,Pitkin County,08097,Pitkin,08,PITKIN,097,150.0,17879.0,838.97,162.0,-12.0,2.0,2.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.262895469540581,2.99758337931076
7,8,Park County,08093,Park,08,PARK,093,36.0,18557.0,194.0,35.0,1.0,1.0,1.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.596376486070085,3.79219717353281
8,9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,216.0,16184.0,1334.65,214.0,2.0,7.0,7.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.19106400063788,1.83562564586585
9,10,Prowers County,08099,Prowers,08,PROWERS,099,45.0,12078.0,372.58,45.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.436578121041293,2.65950781753648
10,11,Moffat County,08081,Moffat,08,MOFFAT,081,20.0,13181.0,151.73,20.0,0.0,1.0,1.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",1.30950090392707,5.03264724477475
11,12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,3462.0,579491.0,597.42,3395.0,67.0,220.0,219.0,1.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.210187679847877,2.86344185299337
